Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,Pico,RPi_Pico_SMD_TH,-97.700000,-87.300000,360.000000,bottom
C1,.1uF,C_0402_1005Metric,101.400000,-80.120000,-90.000000,top
C2,1uF,C_0402_1005Metric,95.325000,-76.320375,-90.000000,top
C3,47uF,C_0805_2012Metric,92.400000,-69.800000,180.000000,top
C4,47uF,C_0805_2012Metric,95.900000,-69.800000,0.000000,top
C5,47uF,C_0805_2012Metric,103.100000,-69.800000,0.000000,top
C6,47uF,C_0805_2012Metric,99.600000,-69.800000,180.000000,top
C20,1uF,C_0402_1005Metric,100.075000,-76.330375,-90.000000,top
C21,.1uF,C_0402_1005Metric,99.595000,-78.050375,180.000000,top
C25,.1uF,C_0402_1005Metric,97.250000,-78.050375,180.000000,top
M1,SI5351A,SI5351A,97.750000,-80.420000,90.000000,top
Q1,P-Channel MOSFET - AO3401A,SOT-23,93.075000,-75.320375,90.000000,top
Q2,P-Channel MOSFET - AO3401A,SOT-23,97.775000,-75.330375,90.000000,top
R6,4.7k,R_0402_1005Metric,102.875000,-73.880375,180.000000,top
R7,4.7k,R_0402_1005Metric,102.875000,-74.880375,180.000000,top
R8,500,R_0402_1005Metric,95.325000,-74.320375,-90.000000,top
R9,10k,R_0402_1005Metric,94.825000,-78.050375,0.000000,top
R12,500,R_0402_1005Metric,100.075000,-74.330375,-90.000000,top
R13,10k,R_0402_1005Metric,101.275000,-74.330375,-90.000000,top
TCXO1,26MHz,CRYSTAL_2.5mmWidth_2.0mmHeight_6Pin_C3013793,102.400000,-77.200000,-90.000000,top
U2,APX803S-26SA,SOT-23,97.800000,-84.500000,90.000000,top
U4,GPS ATGM336H-5N31,ATGM336H-5N31,97.722200,-106.000000,0.000000,top
